Array,timeQSort,timeQSelect,timeRMedian
100,0.8966529369354248,0.07197904586791992,0.031706809997558594
101,0.9172639846801758,0.07381081581115723,0.03114795684814453
102,0.9026429653167725,0.05348396301269531,0.03216195106506348
103,0.9106700420379639,0.049530029296875,0.03140711784362793
104,0.9156491756439209,0.040582895278930664,0.03174304962158203
105,0.9228219985961914,0.07962298393249512,0.031137943267822266
106,0.9072568416595459,0.0324099063873291,0.03154611587524414
107,0.904289960861206,0.06179094314575195,0.03156018257141113
108,0.9001610279083252,0.08717608451843262,0.03103494644165039
109,0.9092938899993896,0.1049048900604248,0.030846834182739258
110,0.906041145324707,0.0858008861541748,0.03306984901428223
111,0.9016718864440918,0.09534001350402832,0.0307919979095459
112,0.886836051940918,0.03796696662902832,0.03251814842224121
113,0.8931248188018799,0.054013967514038086,0.033683061599731445
114,0.9060711860656738,0.06857013702392578,0.032319068908691406
115,0.9013779163360596,0.07698774337768555,0.03287196159362793
116,0.9094500541687012,0.09969091415405273,0.030908823013305664
117,0.9123499393463135,0.06888866424560547,0.031042098999023438
118,0.9265213012695312,0.0576329231262207,0.030838966369628906
119,0.8943250179290771,0.09626436233520508,0.03258395195007324
120,0.907783031463623,0.04906010627746582,0.03267788887023926
121,0.8986260890960693,0.03893780708312988,0.03268885612487793
122,0.8994789123535156,0.0848844051361084,0.030979156494140625
123,0.9012179374694824,0.08058762550354004,0.03337287902832031
124,0.9042260646820068,0.07811093330383301,0.03152894973754883
125,0.9156949520111084,0.05559897422790527,0.031905174255371094
126,0.9178109169006348,0.07624006271362305,0.031198978424072266
127,0.9438068866729736,0.0608367919921875,0.031601905822753906
128,0.889164924621582,0.05554628372192383,0.03330826759338379
129,0.9159691333770752,0.05287790298461914,0.031298160552978516
130,0.9192991256713867,0.07581710815429688,0.031271934509277344
131,0.8780081272125244,0.04146718978881836,0.034089088439941406
132,0.903270959854126,0.07490992546081543,0.031149864196777344
133,0.910886287689209,0.0593571662902832,0.032655954360961914
134,0.9168686866760254,0.07401204109191895,0.03161978721618652
135,0.8992252349853516,0.0954890251159668,0.03155088424682617
136,0.9128377437591553,0.03901100158691406,0.032629966735839844
137,0.917985200881958,0.047002315521240234,0.035552024841308594
138,0.9028468132019043,0.08752918243408203,0.03286290168762207
139,0.913693904876709,0.0721588134765625,0.03201103210449219
140,0.8987140655517578,0.07402968406677246,0.03137993812561035
141,0.9311370849609375,0.048610687255859375,0.0328221321105957
142,0.9203550815582275,0.08437085151672363,0.0313417911529541
143,0.903641939163208,0.06914186477661133,0.03274226188659668
144,0.9188499450683594,0.06137394905090332,0.03311276435852051
145,0.9172940254211426,0.05440402030944824,0.03306078910827637
146,0.9045968055725098,0.06392908096313477,0.034008026123046875
147,0.9069278240203857,0.04612994194030762,0.03363990783691406
148,0.9201788902282715,0.0606846809387207,0.03517413139343262
149,0.93772292137146,0.04912567138671875,0.034111976623535156

