Array,timeQSort,timeQSelect,timeRMedian
0,0.8916738033294678,0.08723711967468262,0.0326998233795166
1,0.927058219909668,0.07456612586975098,0.032592058181762695
2,0.8997759819030762,0.07186698913574219,0.03469705581665039
3,0.8929939270019531,0.06815910339355469,0.03695797920227051
4,0.8973391056060791,0.06801414489746094,0.035642147064208984
5,0.9194731712341309,0.10229778289794922,0.032801151275634766
6,0.915910005569458,0.0820150375366211,0.03300595283508301
7,0.9052438735961914,0.06614112854003906,0.03445625305175781
8,0.9105949401855469,0.06389498710632324,0.035642147064208984
9,0.9018590450286865,0.06315994262695312,0.035256147384643555
10,0.8954770565032959,0.046301841735839844,0.03780722618103027
11,0.924124002456665,0.04194903373718262,0.03596210479736328
12,0.8982992172241211,0.09020805358886719,0.03397202491760254
13,0.9096457958221436,0.037320852279663086,0.03420591354370117
14,0.8959739208221436,0.06393122673034668,0.03532695770263672
15,0.9442977905273438,0.06384730339050293,0.035531044006347656
16,0.9176580905914307,0.09337806701660156,0.032691240310668945
17,0.8952789306640625,0.06116199493408203,0.035623788833618164
18,0.8938159942626953,0.09762287139892578,0.03337383270263672
19,0.8914439678192139,0.0403439998626709,0.03539705276489258
20,0.9080460071563721,0.05280494689941406,0.03345799446105957
21,0.8850111961364746,0.09044504165649414,0.0329129695892334
22,0.9210901260375977,0.04623818397521973,0.03303384780883789
23,0.9149119853973389,0.07761883735656738,0.03581881523132324
24,0.9243559837341309,0.06944108009338379,0.03411722183227539
25,0.9104628562927246,0.06908202171325684,0.03313803672790527
26,0.9274687767028809,0.06846809387207031,0.038609981536865234
27,0.8950860500335693,0.02678370475769043,0.03359413146972656
28,0.8929698467254639,0.09683799743652344,0.03453397750854492
29,0.9352219104766846,0.04330801963806152,0.03318977355957031
30,0.8868937492370605,0.04531502723693848,0.03638410568237305
31,0.9001619815826416,0.0527338981628418,0.033165931701660156
32,0.9054219722747803,0.07083320617675781,0.03508305549621582
33,0.904860258102417,0.0993342399597168,0.03306388854980469
34,0.8810081481933594,0.047811031341552734,0.03519582748413086
35,0.9054582118988037,0.09562802314758301,0.033206939697265625
36,0.9123923778533936,0.08535099029541016,0.034722089767456055
37,0.9068820476531982,0.08374905586242676,0.03393197059631348
38,0.8966469764709473,0.0394740104675293,0.035215139389038086
39,0.8998830318450928,0.05244588851928711,0.03620409965515137
40,0.9182801246643066,0.1153709888458252,0.033612966537475586
41,0.907559871673584,0.05774116516113281,0.032782793045043945
42,0.9018290042877197,0.046315908432006836,0.03338479995727539
43,0.8909881114959717,0.0702049732208252,0.0331881046295166
44,0.8882060050964355,0.052033185958862305,0.03531980514526367
45,0.8980538845062256,0.060794830322265625,0.03456425666809082
46,0.8959140777587891,0.0624849796295166,0.03483104705810547
47,0.8987882137298584,0.06843900680541992,0.034552812576293945
48,0.9130868911743164,0.03314399719238281,0.0355226993560791
49,0.9126079082489014,0.04300189018249512,0.03476667404174805

