Array,timeQSort,timeQSelect,timeRMedian,RMedianSuccess
0,0.8789999485015869,0.06613993644714355,0.03384089469909668,547
1,0.9019069671630859,0.059159040451049805,0.034070730209350586,548
2,0.9064218997955322,0.04777693748474121,0.03793001174926758,549
3,0.8996350765228271,0.04441213607788086,0.03721785545349121,553
4,0.9117522239685059,0.06470012664794922,0.03895401954650879,548
5,0.9034278392791748,0.04967975616455078,0.035562992095947266,549
6,0.9228968620300293,0.07066011428833008,0.035858869552612305,551
7,0.8951561450958252,0.053331851959228516,0.03669881820678711,550
8,0.9234390258789062,0.06848526000976562,0.034562110900878906,549
9,0.9604380130767822,0.058065176010131836,0.03319191932678223,547
10,0.9583029747009277,0.06167793273925781,0.03664994239807129,552
11,0.9152340888977051,0.06447124481201172,0.033274173736572266,550
12,0.9008200168609619,0.06706023216247559,0.03308916091918945,549
13,0.9041988849639893,0.08557891845703125,0.03334999084472656,551
14,0.9074521064758301,0.07225203514099121,0.03451704978942871,550
15,0.9065167903900146,0.04518008232116699,0.03491783142089844,548
16,0.9019298553466797,0.058618783950805664,0.0352480411529541,552
17,0.885901927947998,0.08492922782897949,0.034739017486572266,548
18,0.9032869338989258,0.040040016174316406,0.03568291664123535,548
19,0.8961288928985596,0.08392190933227539,0.035012006759643555,550
20,0.9164531230926514,0.03112196922302246,0.03551292419433594,545
21,0.923285961151123,0.07336187362670898,0.03454780578613281,547
22,0.9193511009216309,0.0503239631652832,0.0344851016998291,549
23,0.8948469161987305,0.0831441879272461,0.03391075134277344,549
24,0.8924212455749512,0.11124491691589355,0.03435373306274414,548
25,0.903486967086792,0.040734052658081055,0.036936283111572266,547
26,0.928861141204834,0.0531461238861084,0.033125877380371094,554
27,0.9102511405944824,0.05872201919555664,0.03314685821533203,548
28,0.8985090255737305,0.08866572380065918,0.03295016288757324,548
29,0.9019191265106201,0.05596590042114258,0.03745388984680176,547
30,0.9292652606964111,0.05075216293334961,0.03447914123535156,554
31,0.9125199317932129,0.08127999305725098,0.03371882438659668,549
32,0.9038982391357422,0.058830976486206055,0.03338813781738281,551
33,0.9369940757751465,0.0354769229888916,0.033952951431274414,549
34,0.927656888961792,0.06638169288635254,0.033309221267700195,545
35,0.9896817207336426,0.049696922302246094,0.035797834396362305,547
36,0.9355878829956055,0.0623021125793457,0.0357518196105957,551
